Training: 2023-05-04 13:56:23,311-rank_id: 0
Training: 2023-05-04 14:02:43,454-Speed 1264.03 samples/sec  Loss 121.2799  LearningRate 0.1999  ProxyLR: 9.9930  Epoch: 0  Global Step: 50   Fp16 Grad Scale: 8192  Required: 38 hours
Training: 2023-05-04 14:02:51,666-Speed 1247.10 samples/sec  Loss 120.0369  LearningRate 0.1998  ProxyLR: 9.9916  Epoch: 0  Global Step: 60   Fp16 Grad Scale: 8192  Required: 37 hours
Training: 2023-05-04 14:03:13,524-Speed 468.47 samples/sec  Loss 118.9506  LearningRate 0.1998  ProxyLR: 9.9902  Epoch: 0  Global Step: 70   Fp16 Grad Scale: 8192  Required: 44 hours
Training: 2023-05-04 14:03:34,564-Speed 486.73 samples/sec  Loss 119.0516  LearningRate 0.1998  ProxyLR: 9.9887  Epoch: 0  Global Step: 80   Fp16 Grad Scale: 8192  Required: 49 hours
Training: 2023-05-04 14:03:54,493-Speed 513.84 samples/sec  Loss 117.8895  LearningRate 0.1997  ProxyLR: 9.9873  Epoch: 0  Global Step: 90   Fp16 Grad Scale: 8192  Required: 52 hours
Training: 2023-05-04 14:04:11,102-Speed 616.54 samples/sec  Loss 117.6045  LearningRate 0.1997  ProxyLR: 9.9859  Epoch: 0  Global Step: 100   Fp16 Grad Scale: 8192  Required: 54 hours
Training: 2023-05-04 14:04:27,571-Speed 621.82 samples/sec  Loss 117.1603  LearningRate 0.1997  ProxyLR: 9.9845  Epoch: 0  Global Step: 110   Fp16 Grad Scale: 8192  Required: 55 hours
Training: 2023-05-04 14:04:41,069-Speed 758.62 samples/sec  Loss 116.3039  LearningRate 0.1997  ProxyLR: 9.9831  Epoch: 0  Global Step: 120   Fp16 Grad Scale: 8192  Required: 54 hours
Training: 2023-05-04 14:04:51,833-Speed 951.43 samples/sec  Loss 115.4128  LearningRate 0.1996  ProxyLR: 9.9817  Epoch: 0  Global Step: 130   Fp16 Grad Scale: 8192  Required: 54 hours
Training: 2023-05-04 14:05:00,027-Speed 1249.71 samples/sec  Loss 113.9625  LearningRate 0.1996  ProxyLR: 9.9803  Epoch: 0  Global Step: 140   Fp16 Grad Scale: 16384  Required: 52 hours
Training: 2023-05-04 14:05:07,663-Speed 1341.12 samples/sec  Loss 112.5030  LearningRate 0.1996  ProxyLR: 9.9789  Epoch: 0  Global Step: 150   Fp16 Grad Scale: 16384  Required: 51 hours
Training: 2023-05-04 14:05:15,055-Speed 1385.41 samples/sec  Loss 111.8444  LearningRate 0.1996  ProxyLR: 9.9775  Epoch: 0  Global Step: 160   Fp16 Grad Scale: 16384  Required: 49 hours
Training: 2023-05-04 14:05:22,193-Speed 1434.66 samples/sec  Loss 110.6542  LearningRate 0.1995  ProxyLR: 9.9761  Epoch: 0  Global Step: 170   Fp16 Grad Scale: 16384  Required: 48 hours
Training: 2023-05-04 14:05:28,681-Speed 1578.45 samples/sec  Loss 110.4047  LearningRate 0.1995  ProxyLR: 9.9747  Epoch: 0  Global Step: 180   Fp16 Grad Scale: 16384  Required: 47 hours
Training: 2023-05-04 14:05:34,858-Speed 1658.05 samples/sec  Loss 108.5218  LearningRate 0.1995  ProxyLR: 9.9733  Epoch: 0  Global Step: 190   Fp16 Grad Scale: 16384  Required: 46 hours
Training: 2023-05-04 14:05:40,636-Speed 1772.55 samples/sec  Loss 107.7956  LearningRate 0.1994  ProxyLR: 9.9719  Epoch: 0  Global Step: 200   Fp16 Grad Scale: 16384  Required: 44 hours
Training: 2023-05-04 14:05:46,044-Speed 1893.45 samples/sec  Loss 107.1367  LearningRate 0.1994  ProxyLR: 9.9705  Epoch: 0  Global Step: 210   Fp16 Grad Scale: 16384  Required: 43 hours
Training: 2023-05-04 14:05:51,741-Speed 1797.79 samples/sec  Loss 106.2695  LearningRate 0.1994  ProxyLR: 9.9691  Epoch: 0  Global Step: 220   Fp16 Grad Scale: 16384  Required: 42 hours
Training: 2023-05-04 14:05:57,296-Speed 1843.52 samples/sec  Loss 105.4606  LearningRate 0.1994  ProxyLR: 9.9677  Epoch: 0  Global Step: 230   Fp16 Grad Scale: 16384  Required: 42 hours
Training: 2023-05-04 14:06:02,967-Speed 1805.89 samples/sec  Loss 104.1416  LearningRate 0.1993  ProxyLR: 9.9663  Epoch: 0  Global Step: 240   Fp16 Grad Scale: 32768  Required: 41 hours
Training: 2023-05-04 14:06:09,438-Speed 1582.66 samples/sec  Loss 103.5161  LearningRate 0.1993  ProxyLR: 9.9649  Epoch: 0  Global Step: 250   Fp16 Grad Scale: 32768  Required: 40 hours
Training: 2023-05-04 14:06:14,280-Speed 2114.85 samples/sec  Loss 103.5792  LearningRate 0.1993  ProxyLR: 9.9635  Epoch: 0  Global Step: 260   Fp16 Grad Scale: 32768  Required: 39 hours
Training: 2023-05-04 14:06:19,600-Speed 1925.13 samples/sec  Loss 102.3509  LearningRate 0.1992  ProxyLR: 9.9620  Epoch: 0  Global Step: 270   Fp16 Grad Scale: 32768  Required: 39 hours
Training: 2023-05-04 14:06:24,817-Speed 1963.25 samples/sec  Loss 101.6954  LearningRate 0.1992  ProxyLR: 9.9606  Epoch: 0  Global Step: 280   Fp16 Grad Scale: 32768  Required: 38 hours
Training: 2023-05-04 14:06:29,874-Speed 2025.14 samples/sec  Loss 100.1343  LearningRate 0.1992  ProxyLR: 9.9592  Epoch: 0  Global Step: 290   Fp16 Grad Scale: 32768  Required: 37 hours
Training: 2023-05-04 14:06:35,106-Speed 1957.48 samples/sec  Loss 98.6161  LearningRate 0.1992  ProxyLR: 9.9578  Epoch: 0  Global Step: 300   Fp16 Grad Scale: 32768  Required: 37 hours
Training: 2023-05-04 14:06:40,481-Speed 1905.10 samples/sec  Loss 97.6632  LearningRate 0.1991  ProxyLR: 9.9564  Epoch: 0  Global Step: 310   Fp16 Grad Scale: 32768  Required: 36 hours
Training: 2023-05-04 14:06:46,285-Speed 1764.69 samples/sec  Loss 97.8592  LearningRate 0.1991  ProxyLR: 9.9550  Epoch: 0  Global Step: 320   Fp16 Grad Scale: 32768  Required: 36 hours
Training: 2023-05-04 14:06:51,429-Speed 1990.81 samples/sec  Loss 97.9171  LearningRate 0.1991  ProxyLR: 9.9536  Epoch: 0  Global Step: 330   Fp16 Grad Scale: 16384  Required: 35 hours
Training: 2023-05-04 14:06:56,269-Speed 2115.85 samples/sec  Loss 97.8506  LearningRate 0.1990  ProxyLR: 9.9522  Epoch: 0  Global Step: 340   Fp16 Grad Scale: 4096  Required: 35 hours
Training: 2023-05-04 14:07:01,034-Speed 2149.54 samples/sec  Loss 97.1422  LearningRate 0.1990  ProxyLR: 9.9508  Epoch: 0  Global Step: 350   Fp16 Grad Scale: 4096  Required: 34 hours
Training: 2023-05-04 14:07:05,160-Speed 2482.03 samples/sec  Loss 94.5269  LearningRate 0.1990  ProxyLR: 9.9494  Epoch: 0  Global Step: 360   Fp16 Grad Scale: 4096  Required: 34 hours
Training: 2023-05-04 14:07:09,609-Speed 2302.18 samples/sec  Loss 94.9382  LearningRate 0.1990  ProxyLR: 9.9480  Epoch: 0  Global Step: 370   Fp16 Grad Scale: 4096  Required: 34 hours
Training: 2023-05-04 14:07:13,843-Speed 2418.53 samples/sec  Loss 94.7380  LearningRate 0.1989  ProxyLR: 9.9466  Epoch: 0  Global Step: 380   Fp16 Grad Scale: 4096  Required: 33 hours
Training: 2023-05-04 14:07:18,724-Speed 2098.45 samples/sec  Loss 93.3714  LearningRate 0.1989  ProxyLR: 9.9452  Epoch: 0  Global Step: 390   Fp16 Grad Scale: 4096  Required: 33 hours
Training: 2023-05-04 14:07:23,749-Speed 2038.15 samples/sec  Loss 92.3023  LearningRate 0.1989  ProxyLR: 9.9438  Epoch: 0  Global Step: 400   Fp16 Grad Scale: 4096  Required: 32 hours
Training: 2023-05-04 14:07:27,967-Speed 2428.08 samples/sec  Loss 91.2454  LearningRate 0.1988  ProxyLR: 9.9424  Epoch: 0  Global Step: 410   Fp16 Grad Scale: 4096  Required: 32 hours
Training: 2023-05-04 14:07:32,000-Speed 2539.07 samples/sec  Loss 90.5556  LearningRate 0.1988  ProxyLR: 9.9410  Epoch: 0  Global Step: 420   Fp16 Grad Scale: 4096  Required: 32 hours
Training: 2023-05-04 14:07:35,959-Speed 2586.94 samples/sec  Loss 88.9856  LearningRate 0.1988  ProxyLR: 9.9396  Epoch: 0  Global Step: 430   Fp16 Grad Scale: 4096  Required: 31 hours
Training: 2023-05-04 14:07:40,520-Speed 2245.69 samples/sec  Loss 88.0774  LearningRate 0.1988  ProxyLR: 9.9382  Epoch: 0  Global Step: 440   Fp16 Grad Scale: 8192  Required: 31 hours
Training: 2023-05-04 14:07:44,469-Speed 2592.91 samples/sec  Loss 89.3417  LearningRate 0.1987  ProxyLR: 9.9368  Epoch: 0  Global Step: 450   Fp16 Grad Scale: 8192  Required: 31 hours
Training: 2023-05-04 14:07:49,120-Speed 2202.36 samples/sec  Loss 87.4185  LearningRate 0.1987  ProxyLR: 9.9354  Epoch: 0  Global Step: 460   Fp16 Grad Scale: 8192  Required: 30 hours
Training: 2023-05-04 14:07:55,246-Speed 1671.82 samples/sec  Loss 85.6462  LearningRate 0.1987  ProxyLR: 9.9340  Epoch: 0  Global Step: 470   Fp16 Grad Scale: 8192  Required: 30 hours
Training: 2023-05-04 14:08:05,956-Speed 956.13 samples/sec  Loss 84.3875  LearningRate 0.1987  ProxyLR: 9.9326  Epoch: 0  Global Step: 480   Fp16 Grad Scale: 8192  Required: 30 hours
Training: 2023-05-04 14:08:12,217-Speed 1635.83 samples/sec  Loss 83.0555  LearningRate 0.1986  ProxyLR: 9.9312  Epoch: 0  Global Step: 490   Fp16 Grad Scale: 8192  Required: 30 hours
Training: 2023-05-04 14:08:18,694-Speed 1581.30 samples/sec  Loss 82.9236  LearningRate 0.1986  ProxyLR: 9.9298  Epoch: 0  Global Step: 500   Fp16 Grad Scale: 8192  Required: 30 hours
Training: 2023-05-04 14:08:23,638-Speed 2071.39 samples/sec  Loss 82.0308  LearningRate 0.1986  ProxyLR: 9.9284  Epoch: 0  Global Step: 510   Fp16 Grad Scale: 8192  Required: 30 hours
Training: 2023-05-04 14:08:28,457-Speed 2125.21 samples/sec  Loss 81.1895  LearningRate 0.1985  ProxyLR: 9.9270  Epoch: 0  Global Step: 520   Fp16 Grad Scale: 8192  Required: 30 hours
Training: 2023-05-04 14:08:33,917-Speed 1875.57 samples/sec  Loss 80.2355  LearningRate 0.1985  ProxyLR: 9.9256  Epoch: 0  Global Step: 530   Fp16 Grad Scale: 8192  Required: 30 hours
Training: 2023-05-04 14:08:39,922-Speed 1705.61 samples/sec  Loss 78.8155  LearningRate 0.1985  ProxyLR: 9.9242  Epoch: 0  Global Step: 540   Fp16 Grad Scale: 16384  Required: 30 hours
Training: 2023-05-04 14:08:46,651-Speed 1521.91 samples/sec  Loss 77.5447  LearningRate 0.1985  ProxyLR: 9.9228  Epoch: 0  Global Step: 550   Fp16 Grad Scale: 16384  Required: 29 hours
Training: 2023-05-04 14:08:50,893-Speed 2414.44 samples/sec  Loss 76.8630  LearningRate 0.1984  ProxyLR: 9.9214  Epoch: 0  Global Step: 560   Fp16 Grad Scale: 16384  Required: 29 hours
Training: 2023-05-04 14:08:55,229-Speed 2361.86 samples/sec  Loss 76.5904  LearningRate 0.1984  ProxyLR: 9.9200  Epoch: 0  Global Step: 570   Fp16 Grad Scale: 4096  Required: 29 hours
Training: 2023-05-04 14:08:59,388-Speed 2463.04 samples/sec  Loss 75.9820  LearningRate 0.1984  ProxyLR: 9.9186  Epoch: 0  Global Step: 580   Fp16 Grad Scale: 4096  Required: 29 hours
Training: 2023-05-04 14:09:03,653-Speed 2401.38 samples/sec  Loss 74.3448  LearningRate 0.1983  ProxyLR: 9.9172  Epoch: 0  Global Step: 590   Fp16 Grad Scale: 4096  Required: 29 hours
Training: 2023-05-04 14:09:09,016-Speed 1909.49 samples/sec  Loss 73.8149  LearningRate 0.1983  ProxyLR: 9.9158  Epoch: 0  Global Step: 600   Fp16 Grad Scale: 4096  Required: 28 hours
Training: 2023-05-04 14:09:13,270-Speed 2407.41 samples/sec  Loss 73.5432  LearningRate 0.1983  ProxyLR: 9.9144  Epoch: 0  Global Step: 610   Fp16 Grad Scale: 4096  Required: 28 hours
Training: 2023-05-04 14:09:17,113-Speed 2665.23 samples/sec  Loss 71.8821  LearningRate 0.1983  ProxyLR: 9.9130  Epoch: 0  Global Step: 620   Fp16 Grad Scale: 4096  Required: 28 hours
Training: 2023-05-04 14:09:21,072-Speed 2587.07 samples/sec  Loss 70.6154  LearningRate 0.1982  ProxyLR: 9.9116  Epoch: 0  Global Step: 630   Fp16 Grad Scale: 4096  Required: 28 hours
Training: 2023-05-04 14:09:25,874-Speed 2132.42 samples/sec  Loss 69.8844  LearningRate 0.1982  ProxyLR: 9.9102  Epoch: 0  Global Step: 640   Fp16 Grad Scale: 4096  Required: 28 hours
Training: 2023-05-04 14:09:30,198-Speed 2368.85 samples/sec  Loss 69.8445  LearningRate 0.1982  ProxyLR: 9.9088  Epoch: 0  Global Step: 650   Fp16 Grad Scale: 4096  Required: 28 hours
Training: 2023-05-04 14:09:34,020-Speed 2679.30 samples/sec  Loss 68.4974  LearningRate 0.1981  ProxyLR: 9.9074  Epoch: 0  Global Step: 660   Fp16 Grad Scale: 4096  Required: 27 hours
Training: 2023-05-04 14:09:37,197-Speed 3223.49 samples/sec  Loss 67.8431  LearningRate 0.1981  ProxyLR: 9.9060  Epoch: 0  Global Step: 670   Fp16 Grad Scale: 8192  Required: 27 hours
Training: 2023-05-04 14:09:41,043-Speed 2663.57 samples/sec  Loss 66.6305  LearningRate 0.1981  ProxyLR: 9.9046  Epoch: 0  Global Step: 680   Fp16 Grad Scale: 8192  Required: 27 hours
Training: 2023-05-04 14:09:44,720-Speed 2785.52 samples/sec  Loss 66.0873  LearningRate 0.1981  ProxyLR: 9.9032  Epoch: 0  Global Step: 690   Fp16 Grad Scale: 8192  Required: 27 hours
Training: 2023-05-04 14:09:48,174-Speed 2964.46 samples/sec  Loss 65.8977  LearningRate 0.1980  ProxyLR: 9.9018  Epoch: 0  Global Step: 700   Fp16 Grad Scale: 8192  Required: 27 hours
Training: 2023-05-04 14:09:51,471-Speed 3106.50 samples/sec  Loss 65.0170  LearningRate 0.1980  ProxyLR: 9.9004  Epoch: 0  Global Step: 710   Fp16 Grad Scale: 8192  Required: 26 hours
Training: 2023-05-04 14:10:28,512-rank_id: 0
Training: 2023-05-04 14:10:30,709-Note: NumExpr detected 64 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
Training: 2023-05-04 14:10:30,709-NumExpr defaulting to 8 threads.
Training: 2023-05-04 14:10:56,044-rank_id: 0
Training: 2023-05-04 14:11:06,977-: loss                     arcface
Training: 2023-05-04 14:11:06,978-: network                  r100
Training: 2023-05-04 14:11:06,978-: resume                   True
Training: 2023-05-04 14:11:06,978-: output                   work_dirs/ms1mv3_r100_lr02
Training: 2023-05-04 14:11:06,978-: embedding_size           512
Training: 2023-05-04 14:11:06,978-: sample_rate              1.0
Training: 2023-05-04 14:11:06,978-: fp16                     True
Training: 2023-05-04 14:11:06,978-: momentum                 0.9
Training: 2023-05-04 14:11:06,978-: weight_decay             0.0005
Training: 2023-05-04 14:11:06,978-: batch_size               256
Training: 2023-05-04 14:11:06,978-: lr                       0.02
Training: 2023-05-04 14:11:06,978-: dali                     False
Training: 2023-05-04 14:11:06,978-: verbose                  10000
Training: 2023-05-04 14:11:06,978-: frequent                 10
Training: 2023-05-04 14:11:06,978-: score                    None
Training: 2023-05-04 14:11:06,978-: rec                      ../../../../InsightFace_Pytorch/data/faces_emore/
Training: 2023-05-04 14:11:06,978-: num_classes              85742
Training: 2023-05-04 14:11:06,978-: num_image                5822653
Training: 2023-05-04 14:11:06,978-: num_epoch                25
Training: 2023-05-04 14:11:06,978-: warmup_epoch             0
Training: 2023-05-04 14:11:06,978-: val_targets              ['lfw', 'cfp_fp', 'agedb_30', 'calfw', 'cplfw']
Training: 2023-05-04 14:11:06,978-: warmup_step              0
Training: 2023-05-04 14:11:06,978-: total_step               142150
Training: 2023-05-04 14:12:47,451-Reducer buckets have been rebuilt in this iteration.
Training: 2023-05-04 14:12:52,570-Speed 3808.81 samples/sec  Loss 126.3922  LearningRate 0.1999  ProxyLR: 9.9972  Epoch: 0  Global Step: 20   Fp16 Grad Scale: 16384  Required: 26 hours
Training: 2023-05-04 14:12:55,226-Speed 3855.68 samples/sec  Loss 123.3905  LearningRate 0.1999  ProxyLR: 9.9958  Epoch: 0  Global Step: 30   Fp16 Grad Scale: 16384  Required: 21 hours
Training: 2023-05-04 14:12:57,863-Speed 3885.28 samples/sec  Loss 121.6490  LearningRate 0.1999  ProxyLR: 9.9944  Epoch: 0  Global Step: 40   Fp16 Grad Scale: 16384  Required: 19 hours
Training: 2023-05-04 14:13:00,498-Speed 3886.63 samples/sec  Loss 121.2751  LearningRate 0.1999  ProxyLR: 9.9930  Epoch: 0  Global Step: 50   Fp16 Grad Scale: 16384  Required: 17 hours
Training: 2023-05-04 14:13:03,137-Speed 3881.56 samples/sec  Loss 119.3948  LearningRate 0.1998  ProxyLR: 9.9916  Epoch: 0  Global Step: 60   Fp16 Grad Scale: 16384  Required: 16 hours
Training: 2023-05-04 14:13:05,769-Speed 3890.28 samples/sec  Loss 119.3675  LearningRate 0.1998  ProxyLR: 9.9902  Epoch: 0  Global Step: 70   Fp16 Grad Scale: 16384  Required: 15 hours
Training: 2023-05-04 14:13:08,420-Speed 3864.68 samples/sec  Loss 118.1735  LearningRate 0.1998  ProxyLR: 9.9887  Epoch: 0  Global Step: 80   Fp16 Grad Scale: 16384  Required: 15 hours
Training: 2023-05-04 14:13:11,060-Speed 3879.84 samples/sec  Loss 116.0225  LearningRate 0.1997  ProxyLR: 9.9873  Epoch: 0  Global Step: 90   Fp16 Grad Scale: 16384  Required: 14 hours
Training: 2023-05-04 14:13:13,703-Speed 3875.02 samples/sec  Loss 115.3046  LearningRate 0.1997  ProxyLR: 9.9859  Epoch: 0  Global Step: 100   Fp16 Grad Scale: 16384  Required: 14 hours
Training: 2023-05-04 14:13:16,355-Speed 3862.28 samples/sec  Loss 114.9118  LearningRate 0.1997  ProxyLR: 9.9845  Epoch: 0  Global Step: 110   Fp16 Grad Scale: 32768  Required: 13 hours
Training: 2023-05-04 14:13:19,015-Speed 3851.42 samples/sec  Loss 113.2278  LearningRate 0.1997  ProxyLR: 9.9831  Epoch: 0  Global Step: 120   Fp16 Grad Scale: 32768  Required: 13 hours
Training: 2023-05-04 14:13:21,651-Speed 3885.18 samples/sec  Loss 113.6125  LearningRate 0.1996  ProxyLR: 9.9817  Epoch: 0  Global Step: 130   Fp16 Grad Scale: 16384  Required: 13 hours
Training: 2023-05-04 14:13:24,302-Speed 3863.40 samples/sec  Loss 111.5843  LearningRate 0.1996  ProxyLR: 9.9803  Epoch: 0  Global Step: 140   Fp16 Grad Scale: 16384  Required: 13 hours
Training: 2023-05-04 14:13:26,943-Speed 3877.98 samples/sec  Loss 111.1289  LearningRate 0.1996  ProxyLR: 9.9789  Epoch: 0  Global Step: 150   Fp16 Grad Scale: 16384  Required: 13 hours
Training: 2023-05-04 14:13:29,581-Speed 3882.18 samples/sec  Loss 109.8310  LearningRate 0.1996  ProxyLR: 9.9775  Epoch: 0  Global Step: 160   Fp16 Grad Scale: 16384  Required: 12 hours
Training: 2023-05-04 14:13:32,214-Speed 3890.12 samples/sec  Loss 108.6585  LearningRate 0.1995  ProxyLR: 9.9761  Epoch: 0  Global Step: 170   Fp16 Grad Scale: 16384  Required: 12 hours
Training: 2023-05-04 14:13:34,853-Speed 3881.46 samples/sec  Loss 107.8317  LearningRate 0.1995  ProxyLR: 9.9747  Epoch: 0  Global Step: 180   Fp16 Grad Scale: 16384  Required: 12 hours
Training: 2023-05-04 14:13:37,486-Speed 3889.88 samples/sec  Loss 106.4365  LearningRate 0.1995  ProxyLR: 9.9733  Epoch: 0  Global Step: 190   Fp16 Grad Scale: 16384  Required: 12 hours
Training: 2023-05-04 14:13:40,140-Speed 3859.67 samples/sec  Loss 105.1907  LearningRate 0.1994  ProxyLR: 9.9719  Epoch: 0  Global Step: 200   Fp16 Grad Scale: 16384  Required: 12 hours
Training: 2023-05-04 14:13:42,798-Speed 3852.55 samples/sec  Loss 104.6423  LearningRate 0.1994  ProxyLR: 9.9705  Epoch: 0  Global Step: 210   Fp16 Grad Scale: 16384  Required: 12 hours
Training: 2023-05-04 14:13:45,449-Speed 3864.45 samples/sec  Loss 103.1676  LearningRate 0.1994  ProxyLR: 9.9691  Epoch: 0  Global Step: 220   Fp16 Grad Scale: 16384  Required: 12 hours
Training: 2023-05-04 14:13:48,113-Speed 3844.37 samples/sec  Loss 102.3641  LearningRate 0.1994  ProxyLR: 9.9677  Epoch: 0  Global Step: 230   Fp16 Grad Scale: 32768  Required: 12 hours
Training: 2023-05-04 14:13:50,779-Speed 3842.50 samples/sec  Loss 101.2265  LearningRate 0.1993  ProxyLR: 9.9663  Epoch: 0  Global Step: 240   Fp16 Grad Scale: 32768  Required: 12 hours
Training: 2023-05-04 14:13:53,442-Speed 3845.21 samples/sec  Loss 99.3056  LearningRate 0.1993  ProxyLR: 9.9649  Epoch: 0  Global Step: 250   Fp16 Grad Scale: 32768  Required: 12 hours
Training: 2023-05-04 14:13:56,083-Speed 3879.27 samples/sec  Loss 99.0793  LearningRate 0.1993  ProxyLR: 9.9635  Epoch: 0  Global Step: 260   Fp16 Grad Scale: 32768  Required: 12 hours
Training: 2023-05-04 14:13:58,747-Speed 3845.14 samples/sec  Loss 98.1583  LearningRate 0.1992  ProxyLR: 9.9620  Epoch: 0  Global Step: 270   Fp16 Grad Scale: 32768  Required: 12 hours
Training: 2023-05-04 14:14:01,397-Speed 3865.19 samples/sec  Loss 96.5450  LearningRate 0.1992  ProxyLR: 9.9606  Epoch: 0  Global Step: 280   Fp16 Grad Scale: 32768  Required: 12 hours
Training: 2023-05-04 14:14:04,047-Speed 3865.19 samples/sec  Loss 95.6442  LearningRate 0.1992  ProxyLR: 9.9592  Epoch: 0  Global Step: 290   Fp16 Grad Scale: 32768  Required: 12 hours
Training: 2023-05-04 14:14:06,694-Speed 3868.53 samples/sec  Loss 95.3196  LearningRate 0.1992  ProxyLR: 9.9578  Epoch: 0  Global Step: 300   Fp16 Grad Scale: 32768  Required: 12 hours
Training: 2023-05-04 14:14:09,340-Speed 3871.98 samples/sec  Loss 93.5259  LearningRate 0.1991  ProxyLR: 9.9564  Epoch: 0  Global Step: 310   Fp16 Grad Scale: 32768  Required: 12 hours
Training: 2023-05-04 14:14:11,981-Speed 3878.07 samples/sec  Loss 92.2048  LearningRate 0.1991  ProxyLR: 9.9550  Epoch: 0  Global Step: 320   Fp16 Grad Scale: 32768  Required: 11 hours
Training: 2023-05-04 14:14:14,625-Speed 3873.77 samples/sec  Loss 91.7369  LearningRate 0.1991  ProxyLR: 9.9536  Epoch: 0  Global Step: 330   Fp16 Grad Scale: 32768  Required: 11 hours
Training: 2023-05-04 14:14:17,259-Speed 3887.59 samples/sec  Loss 91.0726  LearningRate 0.1990  ProxyLR: 9.9522  Epoch: 0  Global Step: 340   Fp16 Grad Scale: 16384  Required: 11 hours
Training: 2023-05-04 14:14:19,903-Speed 3874.29 samples/sec  Loss 90.2218  LearningRate 0.1990  ProxyLR: 9.9508  Epoch: 0  Global Step: 350   Fp16 Grad Scale: 16384  Required: 11 hours
Training: 2023-05-04 14:14:22,550-Speed 3869.77 samples/sec  Loss 89.9314  LearningRate 0.1990  ProxyLR: 9.9494  Epoch: 0  Global Step: 360   Fp16 Grad Scale: 16384  Required: 11 hours
Training: 2023-05-04 14:14:25,200-Speed 3864.02 samples/sec  Loss 89.0371  LearningRate 0.1990  ProxyLR: 9.9480  Epoch: 0  Global Step: 370   Fp16 Grad Scale: 16384  Required: 11 hours
Training: 2023-05-04 14:14:27,841-Speed 3879.12 samples/sec  Loss 87.1311  LearningRate 0.1989  ProxyLR: 9.9466  Epoch: 0  Global Step: 380   Fp16 Grad Scale: 8192  Required: 11 hours
Training: 2023-05-04 14:14:30,496-Speed 3857.64 samples/sec  Loss 86.4649  LearningRate 0.1989  ProxyLR: 9.9452  Epoch: 0  Global Step: 390   Fp16 Grad Scale: 8192  Required: 11 hours
Training: 2023-05-04 14:14:33,135-Speed 3881.74 samples/sec  Loss 85.2255  LearningRate 0.1989  ProxyLR: 9.9438  Epoch: 0  Global Step: 400   Fp16 Grad Scale: 8192  Required: 11 hours
Training: 2023-05-04 14:14:35,788-Speed 3861.31 samples/sec  Loss 84.9791  LearningRate 0.1988  ProxyLR: 9.9424  Epoch: 0  Global Step: 410   Fp16 Grad Scale: 8192  Required: 11 hours
Training: 2023-05-04 14:14:38,426-Speed 3881.29 samples/sec  Loss 83.3895  LearningRate 0.1988  ProxyLR: 9.9410  Epoch: 0  Global Step: 420   Fp16 Grad Scale: 8192  Required: 11 hours
Training: 2023-05-04 14:14:41,065-Speed 3881.74 samples/sec  Loss 82.0255  LearningRate 0.1988  ProxyLR: 9.9396  Epoch: 0  Global Step: 430   Fp16 Grad Scale: 8192  Required: 11 hours
Training: 2023-05-04 14:14:43,702-Speed 3883.76 samples/sec  Loss 81.7464  LearningRate 0.1988  ProxyLR: 9.9382  Epoch: 0  Global Step: 440   Fp16 Grad Scale: 8192  Required: 11 hours
